issue_year,n,auc,average_precision,base_rate,brier,ece,mean_predicted,observed_rate
2007,603,0.9376832844574781,0.624443974054607,0.05140961857379768,0.03642737610248659,0.053700784923310416,0.07653688926255428,0.05140961857379768
2008,2393,0.8826982897120654,0.5540865776163776,0.06560802340158796,0.04894320358807389,0.03470605251439504,0.060610949955751954,0.06560802340158796
2009,5281,0.8261748066978976,0.34062038130598826,0.04639272864987692,0.038937405262834214,0.01883909387500327,0.046454584080168504,0.04639272864987692
2010,12537,0.8543771532018885,0.38085463843397804,0.03453776820610992,0.02904423253967503,0.019658148616751348,0.03932049075109273,0.03453776820610992
2011,21721,0.8434041146559483,0.3322784653588849,0.035541641729202156,0.030798199603391738,0.014759714019588211,0.03518664309978033,0.035541641729202156
2012,53367,0.7863442162803196,0.23799346833946758,0.037345175857739804,0.03368209329993095,0.010340627753828512,0.03376608137767721,0.037345175857739804
2013,134814,0.7751865455480266,0.17081286245817445,0.031762279881911375,0.029205377636717416,0.0075347159474403805,0.03318154011442369,0.031762279881911375
2014,235629,0.793527814632252,0.2010016272220105,0.0343888061316731,0.03117258544372393,0.009104296967418333,0.03422068779997577,0.0343888061316731
2015,421095,0.7249405594713615,0.10025690827681956,0.04035906386919816,0.03770269353214588,0.00806689825515725,0.03231803868124298,0.04035906386919816
2016,434407,0.7146064212676367,0.112525137615607,0.04704113883984374,0.04369265948596602,0.014094849259837635,0.03306369398076972,0.04704113883984374
2017,443579,0.7090394783699847,0.10174410805873772,0.04398540057126239,0.04107533731506332,0.01112194642361714,0.03382947703976555,0.04398540057126239
