issue_year,matured_share,n,auc,average_precision,base_rate,brier,ece,mean_predicted,observed_rate
2008,1.0,1562,0.7394036421853112,0.39401259523243687,0.15813060179257363,0.12091326119042392,0.03752641093276803,0.13473750040198898,0.15813060179257363
2009,1.0,4716,0.7239526920507028,0.31884852773666045,0.12595419847328243,0.100939987507832,0.01875975646607445,0.12842226431473838,0.12595419847328243
2010,1.0,11536,0.7722012843188082,0.3809673431450009,0.1289008321775312,0.09883155898932737,0.03080292324557298,0.1420644589610208,0.1289008321775312
2011,1.0,21721,0.7627866936757861,0.38226382101134454,0.15178859168546568,0.11305002567614554,0.01854290365004533,0.15298578361827356,0.15178859168546568
2012,1.0,53367,0.7218223682882434,0.3444368098701245,0.1619727546985965,0.12330387320902653,0.010946444934898339,0.15476292162066949,0.1619727546985965
2013,1.0,134804,0.7242908409356571,0.3261882740153089,0.15595976380522833,0.11998611473313169,0.01302078313980218,0.16446937583506122,0.15595976380522833
2014,0.7286768891498545,223103,0.7463481176348861,0.4095619421443112,0.1844977431948472,0.13195682198021533,0.01443864478978752,0.18042280763313448,0.1844977431948472
2015,0.7536387020498154,375546,0.7358868791708035,0.41403555226294236,0.20185010624530683,0.142796878181258,0.02779478213732844,0.17406763790826174,0.20185010624530683
2016,0.0,293105,0.7148375967532792,0.42382556987767533,0.23285853192541922,0.16471108852212935,0.06433384760218203,0.1685351722830151,0.23285853192541922
2017,0.0,169321,0.7073558190932261,0.4021994668414791,0.23132984095298278,0.16519331114037758,0.0595923486710824,0.1718737271345202,0.23132984095298278
2018,0.0,56318,0.710974678482673,0.2962421802374889,0.15756951596292482,0.1232813165640423,0.009181350356283913,0.16266458173380233,0.15756951596292482
